      дата       время       t_сутки             X_км                      Y_км                      Z_км                      Vx_км/с                   Vy_км/с                   Vz_км/с
   01/01/2026   00:00:00     0.000000    14521.7320545040999997     6342.0611937956999999    19986.9787078276999992    0.98293070900000000000    3.38565581240000000010   -1.78845903880000000003
   01/01/2026   00:05:00     0.003472    14800.8141211909893835     7350.5396801928903794    19429.0337451908589692    0.87728097603902806311    3.33632295100408117938   -1.93050429927561388696
   01/01/2026   00:10:00     0.006944    15047.9108617112012176     8343.1338303105893397    18829.0932036202742133    0.76973359648969550957    3.27977926859329595838   -2.06837910550289988594
   01/01/2026   00:15:00     0.010417    15262.4877367128443231     9317.6983021202931043    18188.4531741968321032    0.66052091411379724062    3.21614670514881745983   -2.20178530954962104545
   01/01/2026   00:20:00     0.013889    15444.0804664597668934    10272.1266425008737553    17508.4977646306955616    0.54987889847494554482    3.14556253424718530601   -2.33043438798600840338
   01/01/2026   00:25:00     0.017361    15592.2960424707442941    11204.3558444168200072    16790.6961173875473943    0.43804663629915494534    3.06817907154854690836   -2.45404806856853442676
   01/01/2026   00:30:00     0.020833    15706.8135854532873248    12112.3708117120397700    16036.5992430022268520    0.32526581559181586529    2.98416335050619322593   -2.57235893540855734625
   01/01/2026   00:35:00     0.024306    15787.3850475223022967    12994.2087217740136902    15247.8366752410235181    0.21178020360387495006    2.89369676589932342797   -2.68511101125360318316
   01/01/2026   00:40:00     0.027778    15833.8357570252294133    13847.9632765150329128    14426.1129551800102622    0.09783511976337018001    2.79697468586681444267   -2.79206031554677264563
   01/01/2026   00:45:00     0.031250    15846.0648046333664318    14671.7888323320113191    13573.2039516609575989   -0.01632309529033318519    2.69420603319596635591   -2.89297539697177363664
   01/01/2026   00:50:00     0.034722    15824.0452697031742550    15463.9043999439917751    12690.9530259672705466   -0.13044761341343656734    2.58561283669642588039   -2.98763783923749439548
   01/01/2026   00:55:00     0.038194    15767.8242862607116921    16222.5975052669269463    11781.2670489286943702   -0.24429165423335190387    2.47142975356541011716   -3.07584273890691451206
   01/01/2026   01:00:00     0.041667    15677.5229483161398649    16946.2279027684591401    10846.1122790139025742   -0.35760902080734620454    2.35190356372558804837   -3.15739915413052563099
   01/01/2026   01:05:00     0.045139    15553.3360545725870949    17633.2311330509863012     9887.5101103031630849   -0.47015463446812700670    2.22729263719113295826   -3.23213052320428029956
   01/01/2026   01:10:00     0.048611    15395.5316929536246287    18282.1219167388975304     8907.5326995477441487   -0.58168506765325755421    2.09786637559012431749   -3.29987505193634002602
   01/01/2026   01:15:00     0.052083    15204.4506657351665755    18891.4973770949811485     7908.2984818172637707   -0.69195907351168026557    1.96390462904223054392   -3.36048606887543978316
   01/01/2026   01:20:00     0.055556    14980.5057564297170929    19460.0400841610134766     6891.9675845095402034   -0.80073811108061769093    1.82569708965901624192   -3.41383234752636712602
   01/01/2026   01:25:00     0.059028    14724.1808399324429946    19986.5209136076604999     5860.7371497484552902   -0.90778686482984679348    1.68354266299986000065   -3.45979839475466498851
   01/01/2026   01:30:00     0.062500    14436.0298377984127995    20469.8017138881727579     4816.8365754227545965   -1.01287375737791311237    1.53774881887891667030   -3.49828470466295805082
   01/01/2026   01:35:00     0.065972    14116.6755208773481005    20908.8377757179049361     3762.5226853215174663   -1.11577145419634468095    1.38863092297739610487   -3.52920797730497910077
   01/01/2026   01:40:00     0.069444    13766.8081618851952763    21302.6800983463026764     2700.0748389992700473   -1.21625735913338843574    1.23651155077025851547   -3.55250130169009750453
   01/01/2026   01:45:00     0.072917    13387.1840408395514057    21650.4774475484091205     1631.7899921545257896   -1.31411409960823736957    1.08171978532686571058   -3.56811430262054998450
   01/01/2026   01:50:00     0.076389    12978.6238066272753011    21951.4782007377830553      559.9777184291803447   -1.40913000035012244923    0.92459050059082550010   -3.57601325099523078329
   01/01/2026   01:55:00     0.079861    12542.0106983063028867    22205.0319750905174363     -513.0447963679501941   -1.50109954458395017439    0.76546363178490424293   -3.57618113730736755600
   01/01/2026   02:00:00     0.083333    12078.2886300686087573    22410.5910350692409665    -1584.9577765425505222   -1.58982382159527771295    0.60468343462218045604   -3.56861770815821710947
   01/01/2026   02:05:00     0.086806    11588.4601441062907057    22567.7114762449373853    -2653.4438841912627081   -1.67511095964219986604    0.44259773503433368883   -3.55333946570456587566
   01/01/2026   02:10:00     0.090278    11073.5842359268245509    22676.0541828314257842    -3716.1932411529852291   -1.75677654322000387178    0.27955717115192525580   -3.53037963005380413424
   01/01/2026   02:15:00     0.093750    10534.7740569556223731    22735.3855568706604462    -4770.9084341333333104   -1.83464401372602778383    0.11591442928959382890   -3.49978806471614308665
   01/01/2026   02:20:00     0.097222     9973.1944995431741265    22745.5780175348508276    -5815.3094919477392617   -1.90854505261679776435   -0.04797652429881117913   -3.46163116531864490776
   01/01/2026   02:25:00     0.100694     9390.0596697593806486    22706.6102695419749438    -6847.1388239041930057   -1.97831994619695692187   -0.21176121412402230259   -3.41599171187963078999
   01/01/2026   02:30:00     0.104167     8786.6302536083991113    22618.5673402127731482    -7864.1661084500707970   -2.04381793122944738217   -0.37508542685277301674   -3.36296868503423040573
   01/01/2026   02:35:00     0.107639     8164.2107825327118587    22481.6403852279913025    -8864.1931213382945502   -2.10489752060855817473   -0.53759598162122296868   -3.30267704669187683549
   01/01/2026   02:40:00     0.111111     7524.1468042945831729    22296.1262636727605582    -9845.0584927254919911   -2.16142680839148960785   -0.69894149751615881498   -3.23524748569399325858
   01/01/2026   02:45:00     0.114583     6867.8219655260696328    22062.4268834788733891   -10804.6423827980500239   -2.21328375353967404197   -0.85877315648661477362   -3.16082612912457876176
   01/01/2026   02:50:00     0.118056     6196.6550124248818845    21781.0483188937288563   -11740.8710657300202360   -2.26035644177790778059   -1.01674545997069861684   -3.07957422000751152111
   01/01/2026   02:55:00     0.121528     5512.0967162423419268    21452.5997021153407847   -12651.7214120086966549   -2.30254332503705245647   -1.17251697754950276529   -2.99166776220186190474
   01/01/2026   03:00:00     0.125000     4815.6267303612218011    21077.7918917345872689   -13535.2252594182079282   -2.33975343800433668710   -1.32575108597173286465   -2.89729713338006838758
   01/01/2026   03:05:00     0.128472     4108.7503858952640248    20657.4359211174876911   -14389.4736632474465248   -2.37190659136381507954   -1.47611669692872590613   -2.79666666704329183019
   01/01/2026   03:10:00     0.131944     3392.9954328586397534    20192.4412303404882145   -15212.6210165848386584   -2.39893354136802536519   -1.62328897199950699303   -2.68999420459345547560
   01/01/2026   03:15:00     0.135417     2669.9087340525524419    19683.8136857593987870   -16002.8890318775467341   -2.42077613544004892907   -1.76695002322905008396   -2.57751061854231429231
   01/01/2026   03:20:00     0.138889     1941.0529188977776536    19132.6533917467474080   -16758.5705752653713709   -2.43738743356276840431   -1.90678959784958242021   -2.45945930799431172753
   01/01/2026   03:25:00     0.142361     1208.0030045063509641    18540.1522995720151208   -17478.0333455485582874   -2.44873180526890045039   -2.04250574570420486645   -2.33609566759198164824
   01/01/2026   03:30:00     0.145833      472.3429913331486664    17907.5916188237169013   -18159.7233900125936472   -2.45478500210115877975   -2.17380546798390638860   -2.20768653116027395336
   01/01/2026   03:35:00     0.149306     -264.3375592209216638    17236.3390371809454926   -18802.1684497105906644   -2.45553420546649857760   -2.30040534594285172839   -2.07450959132950866278
   01/01/2026   03:40:00     0.152778    -1000.4469578676143537    16527.8457547342529033   -19403.9811271937571640   -2.45097804986166617936   -2.42203214831225344789   -1.93685279645582070771
   01/01/2026   03:45:00     0.156250    -1734.3948237663956247    15783.6433394311705740   -19963.8618700814614861   -2.44112662149911095657   -2.53842341618986463612   -1.79501372619309276834
   01/01/2026   03:50:00     0.159722    -2464.5955167666263270    15005.3404105799241650   -20480.6017642734025213   -2.42600143241263076417   -2.64932802423982622351   -1.64929894710168239145
   01/01/2026   03:55:00     0.163194    -3189.4715582188152432    14194.6191576857347263   -20953.0851310262212976   -2.40563537017085863224   -2.75450671709598894567   -1.50002334970692561449
   01/01/2026   04:00:00     0.166667    -3907.4570330624241288    13353.2317022173474523   -21380.2919225445108182   -2.38007262337383944297   -2.85373261992064561235   -1.34750946844468623832
